DISCIPLINA,CÓDIGO,TURMA,SALA,HORÁRIO
QUIMICA ORGANICA CI,QUI150,TF,126 - QUI,3a,19:00 - 20:40,5a,20:55 - 22:35
FISICO-QUIMICA CI,QUI151,TB,1020,3a,09:25 - 11:05,5a,09:25 - 11:05
FISICO-QUIMICA CI,QUI151,TF,2060,2a,20:55 - 22:35,4a,19:00 - 20:40
QUIMICA ORGANICA CII,QUI189,TE,1011,3a,19:00 - 20:40,5a,20:55 - 22:35
FISICO-QUIMICA CII,QUI190,TE,126 - QUI,3a,20:55 - 22:35,4a,19:00 - 20:40
OPERACOES UNITARIAS A,QUI192,TF,2030,2a,20:55 - 22:35,5a,19:00 - 19:50
BIOTECNOLOGIA AMBIENTAL,QUI194,TE,2059,4a,19:00 - 22:35
CINETICA QUIMICA,QUI198,TB,1022,5a,09:25 - 11:05
CINETICA QUIMICA,QUI198,TF,2071,4a,20:55 - 22:35
INTRODUCAO A ESTRUTURA DA MATERIA,QUI199,TM,2072,3a,13:50 - 15:45,5a,13:50 - 15:45
INSTRUMENTACAO PARA O ENSINO DE QUIMICA CI,QUI200,TE,1001 - QUI,3a,15:45 - 17:00,5a,15:45 - 17:00
OPERACOES UNITARIAS B,QUI201,TF,1021,2a,15:45 - 18:15
QUIMICA GERAL F,QUI203,TA,1023,2a,07:30 - 09:10,4a,07:30 - 09:10
QUIMICA GERAL F,QUI203,TB,1023,2a,09:25 - 11:05,4a,09:25 - 11:05
QUIMICA GERAL F,QUI203,TF1,1022,4a,19:00 - 20:40,5a,20:55 - 22:35
QUIMICA GERAL F,QUI203,TF2,1023,4a,19:00 - 20:40,5a,20:55 - 22:35
QUIMICA INORGANICA F,QUI205,TB,2055,6a,09:25 - 11:55
QUIMICA INORGANICA F,QUI205,TE,1014,5a,19:00 - 19:50,6a,20:55 - 22:35
QUIMICA ORGANICA I F,QUI207,TE1,1019,3a,19:00 - 20:40,4a,19:00 - 20:40
QUIMICA ORGANICA I F,QUI207,TE2,1018,3a,19:00 - 20:40,4a,19:00 - 20:40
QUIMICA ORGANICA I F,QUI207,TO,1021,4a,14:55 - 16:35,6a,14:55 - 16:35
QUIMICA ORGANICA I F,QUI207,TP,1021,4a,13:00 - 14:40,6a,13:00 - 14:40
