DISCIPLINA,CÓDIGO,TURMA,SALA,HORÁRIO
FUNDAMENTOS DE ELETROMAGNETISMO,FIS069,TE3,2010,2a,19:00 - 20:40,4a,20:55 - 22:35
FUNDAMENTOS DE ELETROMAGNETISMO,FIS069,TF1,2006,2a,20:55 - 22:35,4a,19:00 - 20:40
FUNDAMENTOS DE ELETROMAGNETISMO,FIS069,TF2,2007,2a,20:55 - 22:35,4a,19:00 - 20:40
FUNDAMENTOS DE ELETROMAGNETISMO,FIS069,TM1,2006,2a,13:00 - 14:40,4a,13:00 - 14:40
FUNDAMENTOS DE ELETROMAGNETISMO,FIS069,TM2,2009,2a,13:00 - 14:40,4a,13:00 - 14:40
FUNDAMENTOS DE ELETROMAGNETISMO,FIS069,TM3,2010,2a,13:00 - 14:40,4a,13:00 - 14:40
FUNDAMENTOS DE ELETROMAGNETISMO,FIS069,TM4,1026,2a,13:00 - 14:40,4a,13:00 - 14:40
FUNDAMENTOS DE ELETROMAGNETISMO,FIS069,TN1,2006,2a,14:55 - 16:35,4a,14:55 - 16:35
FUNDAMENTOS DE ELETROMAGNETISMO,FIS069,TN2,2009,2a,14:55 - 16:35,4a,14:55 - 16:35
FUNDAMENTOS DE ELETROMAGNETISMO,FIS069,TN3,2010,2a,14:55 - 16:35,4a,14:55 - 16:35
FUNDAMENTOS DE ELETROMAGNETISMO,FIS069,TN4,1026,2a,14:55 - 16:35,4a,14:55 - 16:35
FUNDAMENTOS DE FISICA MODERNA,FIS071,TM,1025,2a,13:00 - 14:40,4a,13:00 - 14:40
INTRODUCAO A FISICA QUANTICA,FIS073,TF,2055,2a,20:55 - 22:35,4a,19:00 - 20:40
INTRODUCAO A FISICA QUANTICA,FIS073,TN,2055,2a,14:55 - 16:35,4a,14:55 - 16:35
ESTRUTURA DA MATERIA I,FIS074,TN,2056,2a,14:55 - 16:35,4a,14:55 - 16:35
ESTRUTURA DA MATERIA II,FIS076,TN,2057,2a,14:55 - 16:35,4a,14:55 - 16:35
"FUNDAMENTOS DE OSCILACOES,ONDAS E OPTICA",FIS086,TF,1016,3a,20:55 - 22:35,5a,19:00 - 20:40
"FUNDAMENTOS DE OSCILACOES,ONDAS E OPTICA",FIS086,TM,AUD. 4 FIS,2a,13:00 - 14:40,4a,13:00 - 14:40
