DISCIPLINA,CODIGO,TURMA,SALA,DIA1,HORARIO1,DIA2,HORARIO2
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT038,TN2,CAD1 - 313,3a,14:55 - 16:35,5a,14:55 - 16:35
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT038,TN3,1019,3a,14:55 - 16:35,5a,14:55 - 16:35
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT038,TZ,1022,3a,17:00 - 18:40,5a,17:00 - 18:40
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT038,TZ1,CAD1. AUD.2A,3a,17:00 - 18:40,5a,17:00 - 18:40
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT038,TZ2,1022,3a,17:00 - 18:40,5a,17:00 - 18:40
CALCULO DIFERENCIAL E INTEGRAL II,MAT039,TA1.,CAD1 - 312,2a,07:30 - 09:10,4a,07:30 - 09:10
CALCULO DIFERENCIAL E INTEGRAL II,MAT039,TA2.,2035,2a,07:30 - 09:10,4a,07:30 - 09:10
CALCULO DIFERENCIAL E INTEGRAL II,MAT039,TB1.,CAD1 - 312,2a,09:25 - 11:05,4a,09:25 - 11:05
CALCULO DIFERENCIAL E INTEGRAL II,MAT039,TB2.,2035,2a,09:25 - 11:05,4a,09:25 - 11:05
CALCULO DIFERENCIAL E INTEGRAL II,MAT039,TE,1014,2a,19:00 - 20:40,4a,20:55 - 22:35
CALCULO DIFERENCIAL E INTEGRAL II,MAT039,TF,1014,2a,20:55 - 22:35,4a,19:00 - 20:40
CALCULO DIFERENCIAL E INTEGRAL II,MAT039,TM1,CAD1 - 314,2a,13:00 - 14:40,4a,13:00 - 14:40
CALCULO DIFERENCIAL E INTEGRAL II,MAT039,TM2,CAD1 - 311,2a,13:00 - 14:40,4a,13:00 - 14:40
CALCULO DIFERENCIAL E INTEGRAL II,MAT039,TN1,2031,2a,14:55 - 16:35,4a,14:55 - 16:35
CALCULO DIFERENCIAL E INTEGRAL II,MAT039,TN2,CAD1 - 311,2a,14:55 - 16:35,4a,14:55 - 16:35
CALCULO DIFERENCIAL E INTEGRAL II,MAT039,TZ,1019,2a,17:00 - 18:40,4a,17:00 - 18:40
EQUACOES DIFERENCIAIS C,MAT040,TA.,2035,3a,07:30 - 09:10,5a,07:30 - 09:10
EQUACOES DIFERENCIAIS C,MAT040,TB.,2035,3a,09:25 - 11:05,5a,09:25 - 11:05
EQUACOES DIFERENCIAIS C,MAT040,TE,1017,2a,19:00 - 20:40,4a,20:55 - 22:35
EQUACOES DIFERENCIAIS C,MAT040,TM,1014,3a,13:00 - 14:40,5a,13:00 - 14:40
EQUACOES DIFERENCIAIS C,MAT040,TN,1015,3a,14:55 - 16:35,5a,14:55 - 16:35
CALCULO DE VARIAS VARIAVEIS,MAT042,TA,AUD. 1,2a,07:30 - 09:10,4a,07:30 - 09:10
CALCULO DE VARIAS VARIAVEIS,MAT042,TE,1015,2a,19:00 - 20:40,4a,20:55 - 22:35
CALCULO DE VARIAS VARIAVEIS,MAT042,TF,1015,2a,20:55 - 22:35,4a,19:00 - 20:40
RESOLUCAO DE PROBLEMAS,MAT045,TE,2032,3a,19:00 - 20:40,5a,20:55 - 22:35
RESOLUCAO DE PROBLEMAS,MAT045,TM,2054,3a,13:00 - 14:40,5a,13:00 - 14:40
INICIACAO A MATEMATICA,MAT046,TF,2032,3a,20:55 - 22:35,5a,19:00 - 20:40
INICIACAO A MATEMATICA,MAT046,TN,1023,3a,14:55 - 16:35,5a,14:55 - 16:35
ANALISE COMBINATORIA,MAT047,TZ,2032,2a,17:00 - 18:40,4a,17:00 - 18:40
ALGEBRA LINEAR I,MAT048,TA,2032,2a,07:30 - 09:10,4a,07:30 - 09:10
ALGEBRA LINEAR I,MAT048,TZ,2006,2a,17:00 - 18:40,4a,17:00 - 18:40
GEOMETRIA ESPACIAL,MAT050,TF,2031,3a,20:55 - 22:35,5a,19:00 - 20:40
GEOMETRIA ESPACIAL,MAT050,TM,2032,3a,13:00 - 14:40,5a,13:00 - 14:40
ALGEBRA E FUNCAO NA EDUCACAO BASICA,MAT051,TE,2030,3a,19:00 - 20:40,5a,20:55 - 22:35
ALGEBRA E FUNCAO NA EDUCACAO BASICA,MAT051,TN,2030,3a,14:55 - 16:35,5a,14:55 - 16:35
GEOMETRIA NA EDUCACAO BASICA,MAT052,TZ,2009,2a,17:00 - 18:40,4a,17:00 - 18:40
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT105,TF,2032,2a,20:55 - 22:35,4a,19:00 - 20:40,6a,20:55 - 22:35
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT105,TM,2032,2a,13:00 - 14:40,4a,13:00 - 14:40,6a,13:00 - 14:40
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT105,TN,2032,2a,14:55 - 16:35,4a,14:55 - 16:35,6a,14:55 - 16:35
VARIAVEL COMPLEXA,MAT118,TF,2010,3a,20:55 - 22:35,5a,19:00 - 20:40
VARIAVEL COMPLEXA,MAT118,TZ,2010,3a,17:00 - 18:40,5a,17:00 - 18:40
MATEMATICA,MAT130,TA1 / TA2,CAD1 - 313,2a,07:30 - 09:10,4a,07:30 - 09:10
MATEMATICA,MAT130,TB1 / TB2,CAD1 - 313,2a,09:25 - 11:05,4a,09:25 - 11:05
MATEMATICA,MAT130,TF,CAD1 - 312,4a,20:55 - 22:35,6a,19:00 - 20:40
ALGEBRA LINEAR II,MAT213,TM / TTM,1020,2a,13:00 - 14:40,4a,13:00 - 14:40,6a,13:00 - 14:40
FUNDAMENTOS DA ANALISE,MAT223,TE,2031,3a,19:00 - 20:40,5a,20:55 - 22:35,6a,19:00 - 20:40
FUNDAMENTOS DA ANALISE,MAT223,TN,2072,2a,14:55 - 16:35,4a,14:55 - 16:35,6a,14:55 - 16:35
GRUPOS E CORPOS,MAT232,TZ,2033,3a,17:00 - 18:40,5a,17:00 - 18:40
INTRODUCAO A TOPOLOGIA,MAT234,TM,2030,2a,13:00 - 14:40,4a,13:00 - 14:40
ALGEBRA LINEAR NUMERICA,MAT235,TN,2007,2a,14:55 - 16:35,4a,14:55 - 16:35
TEORIA DOS NUMEROS,MAT237,TM,2031,3a,13:00 - 14:40,5a,13:00 - 14:40
FORMAS DIFERENCIAIS EM VARIEDADES,MAT241,TZ,2030,2a,17:00 - 18:40,4a,17:00 - 18:40
ANALISE I,MAT243,TN / TTN,1020,2a,14:55 - 16:35,4a,14:55 - 16:35,6a,14:55 - 16:35
INTRODUCAO A GEOMETRIA DIFERENCIAL,MAT244,TN,2031,3a,14:55 - 16:35,5a,14:55 - 16:35
ANALISE II,MAT245,TN,2030,2a,14:55 - 16:35,4a,14:55 - 16:35
