DISCIPLINA,CÓDIGO,TURMA,SALA,HORÁRIO
TMA: TECNOLOGIAS NO ENSINO DE MATEMATICA,MAT033,TM,2031,2a,13:00 - 14:40,4a,13:00 - 14:40
TMA: CAOS E FRACTAIS - UMA INTRODUCAO VIA SISTEMAS DINAMICOS DISCRETOS,MAT033,TN,2009,3a,14:55 - 16:35,5a,14:55 - 16:35
ALGEBRA A,MAT034,TM,CAD1 - 312,3a,13:00 - 14:40,5a,13:00 - 14:40
ALGEBRA A,MAT034,TZ,2054,3a,17:00 - 18:40,5a,17:00 - 18:40
FUNDAMENTOS DE GEOMETRIA PLANA E DESENHO GEOMETRICO,MAT035,TN,1018,2a,14:55 - 16:35,4a,14:55 - 16:35,6a,14:55 - 16:35
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT038,TA1,CAD1 - 312,3a,07:30 - 09:10,5a,07:30 - 09:10
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT038,TA2,CAD1 - 313,3a,07:30 - 09:10,5a,07:30 - 09:10
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT038,TA3,AUD. 1,3a,07:30 - 09:10,5a,07:30 - 09:10
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT038,TA4,2032,3a,07:30 - 09:10,5a,07:30 - 09:10
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT038,TB1,1023,3a,09:25 - 11:05,5a,09:25 - 11:05
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT038,TB2,AUD. 2,3a,09:25 - 11:05,5a,09:25 - 11:05
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT038,TB3,2032,3a,09:25 - 11:05,5a,09:25 - 11:05
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT038,TD,CAD1. AUD.2A,3a,11:10 - 12:50,5a,11:10 - 12:50
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT038,TE1,2035,3a,20:55 - 22:35,5a,19:00 - 20:40
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT038,TE2,1024,3a,19:00 - 20:40,5a,20:55 - 22:35
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT038,TF1,AUD. 2,3a,20:55 - 22:35,5a,19:00 - 20:40
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT038,TF2,1012,3a,20:55 - 22:35,5a,19:00 - 20:40
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT038,TG,1018,2a,19:00 - 20:40,4a,20:55 - 22:35
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT038,TM1,CAD1 - 313,3a,13:00 - 14:40,5a,13:00 - 14:40
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT038,TM2.,1012,3a,13:00 - 14:40,5a,13:00 - 14:40
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT038,TM3.,1023,3a,13:00 - 14:40,5a,13:00 - 14:40
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT038,TN1,CAD1 - 312,3a,14:55 - 16:35,5a,14:55 - 16:35
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT038,TN2,CAD1 - 313,3a,14:55 - 16:35,5a,14:55 - 16:35
GEOMETRIA ANALITICA E ALGEBRA LINEAR,MAT038,TN3,1019,3a,14:55 - 16:35,5a,14:55 - 16:35
